2026-07-16 12:28:14.926 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:28:15.316 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:28:15.316 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:28:15.421 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:28:15.774 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:28:15.774 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:28:15.879 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:28:16.132 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:28:16.132 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:28:16.237 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:28:16.483 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:28:16.483 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:28:16.588 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:36.434 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:36.434 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:36.539 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:40.272 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:40.272 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:40.378 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:41.112 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:41.112 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:41.217 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:41.882 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:41.882 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:41.987 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:42.636 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:42.637 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
